Latitude,Longitude,Id,Name,Main Address,Address Level - 1,Address Level - 1,Address Level - 1,Address Level - 1,Date Of Last Update
53.455357,-6.179349,1328,Seabury Medical Centre,"1 Seabury Parade, Malahide, Co. Dublin, K36 FK13",Dublin,Kildare,Louth,Louth,08-Apr-22
51.92593,-8.608526,3197,Tower Medical & Dental Centre,"1 Shournagh Valley, Tower, Blarney, Co. Cork, T23 PX0H",Cork,Tipperary,Dublin,Dublin,26-Apr-22
52.671517,-8.635179,1580,Dr T P Casey,"1 Stenson Park, Farranshone, Limerick, V94 XD2E",1 Stenson Park,Kildare,Dublin,Dublin,15-Apr-22
51.886547,-8.495937,3245,Glasheen Medical Centre,"1 Tara Court, Glasheen Road, Cork, T12 VEK6",1 Tara Court,Louth,Kerry,Kerry,26-Apr-22
53.395736,-6.438863,1670,Meridian Clinic - Ongar,"1 The Avenue, Ongar Village, Dublin 15, D15 V326",1 The Avenue,Louth,Limerick,Limerick,15-Apr-22
53.268776,-9.064115,1415,Crescent Medical Centre,"1 The Crescent, Galway, H91 E7FP",1 The Crescent,Louth,Clare,Clare,12-Apr-22
53.423753,-6.133146,1283,Portmarnock GP Clinic,"1 The Dunes, Portmarnock, Co. Dublin, D13 T2T6",Dublin,Dublin,Meath,Meath,08-Apr-22
52.677398,-7.811906,2670,Thomond Healthcare,"1 Thomond Road, Thurles, Co. Tipperary, E41 YY93",Tipperary,Dublin,Dublin,Dublin,12-Apr-22
53.339362,-6.320771,3291,Dr Michael O'Malley,"1 Tyrconnell Road, Dublin 8, D08 AE98",1 Tyrconnell Road,Kerry,Dublin,Dublin,26-Apr-22
53.382783,-6.408697,5441,Clonsilla Family Practice ,"1 Weaver's Row, Clonsilla Road, Clonsilla, Dublin 15, D15 WP93",1 Weaver's Row,Meath,Dublin,Dublin,28-Apr-22
51.904396,-8.457873,3949,Other - Women's Health Clinic,"1 Wellington Road, Saint Lukes Cross, Cork, T23 FT89",1 Wellington Road,Offaly,Kerry,Kerry,06-Apr-22
54.272386,-8.479732,2886,Family Medical Centre Sligo,"1 Wine Street, Sligo, F91 RFK1",1 Wine Street,Dublin,Kerry,Kerry,21-Apr-22
53.277229,-9.027133,5532,Other - Brothers of Charity Services Western Region,"1 Woodlands Green, Renmore, Galway, H91 AWX5",1 Woodlands Green,Wicklow,Dublin,Dublin,26-Jan-22
53.282178,-6.340133,1830,Dr Sean McCarthy,"1 Woodlawn Park Avenue, Dublin 24, D24 ED23",1 Woodlawn Park Avenue,Kildare,Dublin,Dublin,22-Apr-22
53.294605,-6.251436,1334,Woodlawn Medical Centre,"1 Woodlawn Terrace, Churchtown Road Upper, Dublin 14, D14 W3V5",1 Woodlawn Terrace,Cork,Westmeath,Westmeath,08-Apr-22
53.42627,-7.934045,1231,Newtown Medical Centre,"1/2 Newtown Terrace, Athlone, Co. Westmeath, N37 E0Y8",Westmeath,Kerry,Dublin,Dublin,08-Apr-22
53.333925,-6.244438,2425,Baggot Street Medical,"10 Baggot Street Upper, Dublin 4, D04 KT35",10 Baggot Street Upper,Tipperary,Kerry,Kerry,11-Apr-22
53.369091,-6.25441,2014,Drumcondra Village Medical Centre,"10 Drumcondra Road Upper, Dublin 9, D09 H3C5",10 Drumcondra Road Upper,Dublin,Westmeath,Westmeath,27-Apr-22
54.003788,-6.400468,2105,Dr Byrnes Surgery,"10 Francis Street, Dundalk, Co. Louth, A91 TP4V",Louth,Louth,Dublin,Dublin,30-Mar-22
53.576145,-6.104675,1281,Seaholm Surgery,"10 Holmpatrick, Skerries, Co. Dublin, K34 R942",Dublin,Dublin,Kildare,Kildare,08-Apr-22
53.327286,-6.251806,2325,Nursing Home - Leeson Park House,"10 Leeson Park, Dublin 6, D06 TC65",10 Leeson Park,Louth,Tipperary,Tipperary,27-Apr-22
53.290886,-6.154165,2590,Dr. Roger H Feely,"10 Richmond Avenue, Monkstown, Blackrock, Co. Dublin, A94 XE04",Dublin,Louth,Mayo,Mayo,11-Apr-22
53.857566,-9.286241,1811,Dr Paul O'Grady,"10 Saint Martin's Terrace, Castlebar, Co. Mayo, F23 AY72",Mayo,Wexford,Kerry,Kerry,28-Mar-21
54.005013,-6.392814,2453,Seatown Family Practice,"10 Seatown Place, Dundalk, Co. Louth, A91 K8YW",Louth,Meath,Wexford,Wexford,11-Apr-22
53.357511,-6.268322,3979,Other - Reproductive Choice Limited,"10/11 Berkeley Street, Dublin 7, D07 Y032",10/11 Berkeley Street,Meath,Limerick,Limerick,06-Apr-22
53.348514,-6.247149,3352,Occupation Health Dept - Corporate Health Ireland,"10/11 Exchange Place, IFSC., Dublin 1, D01 N4X6",10/11 Exchange Place,Kilkenny,Roscommon,Roscommon,26-Apr-22
53.353541,-6.258737,1737,Influmed Medical Care Ltd - Dublin 1,"102 Parnell Street, Dublin 1, D01 V0F1",102 Parnell Street,Mayo,Leitrim,Leitrim,15-Apr-22
53.374061,-6.290021,4198,Dr Ronan O'Ferrall,"102 Slaney Road, Dublin Industrial Estate, Dublin 11, D11 A268",102 Slaney Road,Mayo,Dublin,Dublin,27-Apr-22
51.907809,-8.475816,3110,Dr Margaret Fitzsimons,"104 Gerald Griffin Street, Blackpool, Cork, T23 AE0H",104 Gerald Griffin Street,Meath,Galway,Galway,25-Apr-22
53.32629,-6.264785,2138,The Doctors Clinic,"104 Rathmines Road Lower, Dublin 6, D06 F9P0",104 Rathmines Road Lower,Tipperary,Galway,Galway,27-Apr-22
53.279774,-6.259456,3483,Dr Peter Wai Yin Hooi,"105 Broadford Hill, Dublin 16, D16 YD29",105 Broadford Hill,Limerick,Louth,Louth,26-Apr-22
52.661788,-8.629214,1797,Medicentre Limerick,"105 O'connell Street, Limerick, V94 NT2Y",105 O'connell Street,Cork,Roscommon,Roscommon,22-Apr-22
53.332325,-6.274766,2286,South Circular Road Surgery,"106a South Circular Road, Dublin 8, D08 K2V6",106a South Circular Road,Louth,Meath,Meath,27-Apr-22
53.343387,-6.259536,1204,Suffolk Street Surgery,"107 Grafton Street, Dublin 2, D02 E425",107 Grafton Street,Clare,Westmeath,Westmeath,08-Apr-22
53.269043,-6.14523,1445,Johnstown Medical Centre,"107a Johnstown Road, Cabinteely, Glenageary, Co. Dublin, A96 W248",Dublin,Clare,Limerick,Limerick,15-Apr-22
53.452567,-6.237026,2694,Forest Medical Practice,"108 Forrest Fields Road, Swords, Co. Dublin, K67 D802",Dublin,Kildare,Galway,Galway,12-Apr-22
53.352938,-6.248275,4174,City Clinic,"108/109 Amiens Street, Dublin 1, D01 A336",108/109 Amiens Street,Wexford,Galway,Galway,27-Apr-22
53.287117,-6.382915,1558,Springfield Medical Centre,"109 Alderwood Avenue, Dublin 24, D24 R159",109 Alderwood Avenue,Kildare,Kildare,Kildare,15-Apr-22
53.361324,-6.285119,2695,Cabra Medical Centre,"109 Cabra Road, Dublin 7, D07 XH5V",109 Cabra Road,Sligo,Longford,Longford,12-Apr-22
53.357942,-6.263634,1177,Dr Donaghy,"109 Dorset Street Lower, Dublin 1, D01 X953",109 Dorset Street Lower,Meath,Mayo,Mayo,28-Apr-22
53.279703,-6.307511,1243,Scholarstown Family Practice,"10a Templeroan Lodge, Scholarstown Road, Dublin 16, D16 E2Y5",10a Templeroan Lodge,Dublin,Mayo,Mayo,08-Apr-22
51.868838,-8.448126,3103,The Harty Practice,"11 Eugene Drive, Grange, Douglas, Cork, T12 FX26",11 Eugene Drive,Kildare,Limerick,Limerick,25-Apr-22
53.367034,-6.272827,1399,Glasnevin Family Practice,"11 Finglas Road, Dublin 11, D11 PA00",11 Finglas Road,Clare,Cork,Cork,12-Apr-22
52.845186,-8.9806,1142,Francis Street Medical Centre,"11 Francis Street, Ennis, Co. Clare, V95 X5FD",Clare,Dublin,Westmeath,Westmeath,08-Apr-22
54.248576,-6.972032,1783,Monaghan Medical Centre,"11 Hillside, Monaghan, H18 P767",11 Hillside,Dublin,Cork,Cork,22-Apr-22
53.344692,-6.267272,2239,Parliament Street Medical Practice,"11 Parliament Street, Dublin 2, D02 V277",11 Parliament Street,Clare,Louth,Louth,27-Apr-22
53.292635,-6.17965,1685,Carysfort Clinic,"11 Proby Square, Blackrock, Co. Dublin, A94 AD91",Dublin,Louth,Clare,Clare,31-Mar-22
51.745298,-8.733694,3184,Bandon Medical Clinic,"11/12 Oliver Plunkett Street, Bandon, Co. Cork, P72 N272",Cork,Wexford,Kilkenny,Kilkenny,26-Apr-22
53.401881,-6.396423,5455,Alfa Medics,"110 Main Street, Mulhuddart, Dublin 15, D15 YH32",110 Main Street,Galway,Laois,Laois,20-Apr-22
53.359316,-6.240134,1045,North Strand Surgery,"110 North Strand Road, Dublin 3, D03 KW81",110 North Strand Road,Kildare,Galway,Galway,07-Apr-22
53.33632,-6.248681,3835,Doctors Walk-In Clinic Baggot Street,"111 Baggot Street Lower, Dublin 2, D02 DA33",111 Baggot Street Lower,Dublin,Carlow,Carlow,27-Apr-22
53.291893,-6.216009,2573,Dr. Arthur Searson,"111 Trees Road Upper, Mount Merrion, Blackrock, Co. Dublin, A94 K8P6",Dublin,Clare,Tipperary,Tipperary,11-Apr-22
51.898216,-8.475223,4181,Grand Parade Medical Centre,"11-13 Grand Parade, Cork, T12 V528",11-13 Grand Parade,Dublin,Wexford,Wexford,27-Apr-22
53.288261,-6.256167,2324,Churchtown Family Practice,"111d Beaumont Avenue, Dublin 14, D14 X5R5",111d Beaumont Avenue,Waterford,Cork,Cork,27-Apr-22
53.328988,-6.323543,1167,Errigal Road Surgery,"112 Errigal Road, Dublin 12, D12 T286",112 Errigal Road,Laois,Cork,Cork,08-Apr-22
53.327239,-6.303757,1961,HSE  - Addiction Service - The Lodge,"112 Old County Road, Dublin 12, D12 W827",112 Old County Road,Laois,Kildare,Kildare,05-Apr-22
53.306155,-6.268759,2269,Nursing Home - Orwell House ,"112 Orwell Road, Dublin 6, D06 TN66",112 Orwell Road,Kildare,Kilkenny,Kilkenny,27-Apr-22
53.988186,-7.362108,4171,Cavan Medical Practice,"113 College Street, Cavan, H12 A9P2",113 College Street,Kildare,Roscommon,Roscommon,27-Apr-22
52.330632,-6.453706,2340,The Curran Medical Centre,"113 The Faythe, Wexford, Y35 PN82",113 The Faythe,Dublin,Galway,Galway,27-Apr-22
53.323378,-6.23834,1790,General Practice Donnybrook,"114 Morehampton Road, Dublin 4, D04 K3H7",114 Morehampton Road,Kildare,Wexford,Wexford,22-Apr-22
53.343749,-6.288424,1882,Centric Health St James Gate Medical Centre,"114-116 James's Street, Dublin 8, D08 KXN8",114-116 James's Street,Kildare,Wicklow,Wicklow,22-Apr-22
53.316961,-6.322852,1160,Shackleton & Behan Family Doctors,"115 Cromwell's Fort Road, Dublin 12, D12 YR27",115 Cromwell's Fort Road,Dublin,Wicklow,Wicklow,08-Apr-22
53.323369,-6.23924,1739,Dr Ian O'Grady,"115 Morehampton Road, Dublin 4, D04 A6Y8",115 Morehampton Road,Meath,Dublin,Dublin,15-Apr-22
52.270476,-9.708324,4037,Dr Marek Waloch,"117 Rock Street, Tralee, Co. Kerry, V92 K1KF",Kerry,Louth,Wicklow,Wicklow,27-Apr-22
53.387194,-6.2122,2144,Dr John Taylor,"117a Ardlea Road, Dublin 5, D05 N7F3",117a Ardlea Road,Louth,Kerry,Kerry,27-Apr-22
53.389214,-6.116798,5153,Dr John McGuinness,"118 Dublin Road, Sutton, Dublin 13, D13 K2K7",118 Dublin Road,Cork,Dublin,Dublin,27-Apr-22
53.307378,-6.300454,4282,Greenlea Clinic,"118 Greenlea Road, Dublin 6w, D6W WY18",118 Greenlea Road,Offaly,Limerick,Limerick,27-Apr-22
53.332057,-6.275732,2470,Eldon Family Practice,"119 South Circular Road, Dublin 8, D08 VC0H",119 South Circular Road,Tipperary,Roscommon,Roscommon,11-Apr-22
53.300379,-6.263447,1467,Braemor Family Practice,"119b Braemor Road, Dublin 14, D14 VK46",119b Braemor Road,Cork,Wicklow,Wicklow,15-Apr-22
53.203644,-6.106543,1566,Dargle Clinic,"11a Eglinton Road, Bray, Co. Wicklow, A98 D2X6",Wicklow,Mayo,Waterford,Waterford,15-Apr-22
53.358547,-6.269713,4303,Other - Mater Private Rooms,"12 Berkeley Road, Dublin 7, D07 K232",12 Berkeley Road,Offaly,Wicklow,Wicklow,08-Apr-20
51.621762,-8.892081,2282,Emmet Square Surgery,"12 Emmet Square, Clonakilty, Co. Cork, P85 D212",Cork,Cork,Tipperary,Tipperary,27-Apr-22
53.288749,-6.347614,1579,Dr Patrick O'Connor,"12 Glenview Park, Dublin 24, D24 WK33",12 Glenview Park,Dublin,Cavan,Cavan,15-Apr-22
51.85084,-8.29093,3150,Dr Harry Kelleher,"12 Harbour Hill, Cobh, Co. Cork, P24 KW13",Cork,Wicklow,Kerry,Kerry,25-Apr-22
53.270305,-6.249379,2565,Dr. James Moloney,"12 Kingston Avenue, Dublin 16, D16 V2Y9",12 Kingston Avenue,Dublin,Donegal,Donegal,11-Apr-22
51.892733,-8.467307,2178,Langford Hall Medical Centre,"12 Langford Row Off Infirmary Road, Cork, T12 VF9F",12 Langford Row Off Infirmary Road,Wicklow,Dublin,Dublin,27-Apr-22
53.289217,-6.130025,1826,Harbour Health,"1-2 Lower Glenageary Road, Dun Laoghaire, Co Dublin, A96 AE76",1-2 Lower Glenageary Road,Dublin,Donegal,Donegal,22-Apr-22
53.130841,-6.744776,1585,Kilcullen Family Practice,"12 Main Street, Kilcullen, Co. Kildare, R56 KP96",Kildare,Louth,Mayo,Mayo,15-Apr-22
52.354716,-7.70515,3030,Mary Street Medical Centre,"12 Mary Street, Clonmel, Co. Tipperary, E91 T6W2",Tipperary,Dublin,Cork,Cork,25-Apr-22
53.315111,-6.243515,2471,Dr Rachel Kidney,"12 Ramleh Park, Dublin 6, D06 R9F2",12 Ramleh Park,Dublin,Tipperary,Tipperary,11-Apr-22
51.880725,-8.479002,2203,Killeen Medical Centre,"121 Lower Friars Walk, Ballyphehane, Cork, T12 DNT2",121 Lower Friars Walk,Dublin,Tipperary,Tipperary,27-Apr-22
53.233302,-6.647411,4193,Dr M Babiker,"122 Aylmer Park, Naas, Co. Kildare, W91 X9VC",Kildare,Dublin,Tipperary,Tipperary,27-Apr-22
53.316424,-6.321417,3621,The Little John Clinic,"122a Cromwell's Fort Road, Dublin 12, D12 KT62",122a Cromwell's Fort Road,Dublin,Tipperary,Tipperary,27-Apr-22
53.385188,-6.26564,1049,College Gate Clinic,"123 Ballymun Road, Dublin 9, D09 W523",123 Ballymun Road,Cork,Kilkenny,Kilkenny,07-Apr-22
53.296644,-6.253911,1505,Rowan Family Practice,"123 Churchtown Road Lower, Dublin 14, D14 E840",123 Churchtown Road Lower,Kildare,Laois,Laois,15-Apr-22
53.341999,-6.275519,5067,Dr Anetta Sempka,"127-129 Francis Street, Dublin 8, D08 KV22",127-129 Francis Street,Dublin,Galway,Galway,27-Apr-22
53.377351,-6.22418,3573,Dr Hampston,"128 Collins Avenue, Dublin 9, D09 Y367",128 Collins Avenue,Tipperary,Donegal,Donegal,27-Apr-22
54.006663,-6.40741,3619,Medical Centre ,"13 Demesne Road, Dundalk, Co. Louth, A91 E516",Louth,Kerry,Galway,Galway,30-Mar-22
53.716144,-6.353598,1980,Fairgate Medical Practice,"13 Fair Street, Drogheda, Co. Louth, A92 X650",Louth,Limerick,Cork,Cork,31-Mar-22
53.244595,-6.133964,1714,Orsmond Clinics,"13 Loughlinstown Road, Loughlinstown, Dublin 18, D18 VOR1",13 Loughlinstown Road,Dublin,Limerick,Limerick,15-Apr-22
53.364266,-6.232049,2697,Dr Joseph Yasbeck,"13 Marino Mart, Dublin 3, D03 X5V2",13 Marino Mart,Kerry,Mayo,Mayo,12-Apr-22
52.258582,-7.109219,2137,Parnell Clinic,"13 Parnell Street, Waterford, X91 K6YW",13 Parnell Street,Dublin,Kildare,Kildare,27-Apr-22
52.637092,-8.653591,2315,Walk In Medical Centre,"13 Saint Nessan's Park, Dooradoyle, Limerick, V94 AD86",13 Saint Nessan's Park,Dublin,Kildare,Kildare,27-Apr-22
53.344831,-6.273692,4307,Other - SafetyNet - GMQ Medical,"13/14 Merchant's Quay, Dublin 8, D08 KT61",13/14 Merchant's Quay,Cork,Dublin,Dublin,06-Apr-22
53.334413,-6.319508,3253,Galtymore Medical Centre,"131 Galtymore Road, Dublin 12, D12 HX4A",131 Galtymore Road,Kildare,Tipperary,Tipperary,26-Apr-22
53.312184,-6.327149,1208,Drs Canwell and Spillane,"133 Saint Peter's Road, Dublin 12, D12 XN9F",133 Saint Peter's Road,Monaghan,Meath,Meath,08-Apr-22
53.318925,-6.33198,1159,Walkinstown Medical Centre,"133 Walkinstown Road, Dublin 12, D12 PX7A",133 Walkinstown Road,Laois,Westmeath,Westmeath,08-Apr-22
54.012561,-6.410065,2798,Castletown Clinic,"133/135 Castletown Road, Dundalk, Co. Louth, A91 VHR3",Louth,Clare,Offaly,Offaly,30-Mar-22
53.353847,-6.258731,3400,Parnell Medical Surgery,"135 Parnell Street, Dublin 1, D01 K0T2",135 Parnell Street,Cavan,Dublin,Dublin,26-Apr-22
53.34786,-6.26873,2426,Capel Street Medical Centre,"138 Capel Street, Dublin 1, D01 C4E9",138 Capel Street,Cork,Wicklow,Wicklow,11-Apr-22
53.377494,-6.224647,1062,Collins Ave GP,"138 Collins Avenue, Dublin 9, D09 W7W3",138 Collins Avenue,Galway,Kildare,Kildare,07-Apr-22
53.385666,-6.250516,1618,Crestfield Medical Practice,"14 Crestfield Drive, Dublin 9, D09 NY94",14 Crestfield Drive,Mayo,Donegal,Donegal,15-Apr-22
53.362316,-6.259277,4112,United Medical Centre,"14 Drumcondra Road Lower, Dublin 9, D09 E2H2",14 Drumcondra Road Lower,Louth,Tipperary,Tipperary,27-Apr-22
53.607445,-6.179152,5414,CovidAss - Ballbriggan,"14 Hampton Street, Balbriggan, Co. Dublin, K32 P793",Dublin,Meath,Westmeath,Westmeath,17-Apr-20
53.363713,-6.209599,4191,Clontarf Family Practice,"14 Kincora Avenue, Clontarf, Dublin 3, D03 T2W2",14 Kincora Avenue,Kildare,Westmeath,Westmeath,27-Apr-22
53.458634,-6.220639,2478,Adrewendomed Medical Ltd,"14 Main Street, Swords, Co. Dublin, K67 X2C8",Dublin,Dublin,Wexford,Wexford,11-Apr-22
52.268201,-9.700739,3060,Moyerwell Medical Centre,"14 Moyderwell, Tralee, Co. Kerry, V92 K803",Kerry,Dublin,Leitrim,Leitrim,28-Apr-22
53.726274,-7.797636,2225,New Street Medical Centre,"14 New Street, Longford, N39 H2A8",14 New Street,Kerry,Carlow,Carlow,27-Apr-22
53.351053,-6.3788,1265,Medical Centre,"14 Palmerstown Park, Dublin 20, D20 YD43",14 Palmerstown Park,Dublin,Kerry,Kerry,08-Apr-22
52.659997,-8.62457,2396,The Clinic Dooradoyle,"14 St. Nessan's Road, Dooradoyle, Limerick, V94 XE29",14 St. Nessan's Road,Kerry,Laois,Laois,11-Apr-22
53.653997,-6.683522,2762,Watergate Medical Centre ,"14 Watergate Street, Navan, Co. Meath, C15 RP8D",Meath,Dublin,Cork,Cork,19-Apr-22
53.281401,-6.364938,3255,Dr Ling,"14 Watermeadow Park, Dublin 24, D24 NW0D",14 Watermeadow Park,Dublin,Laois,Laois,26-Apr-22
53.343138,-6.291259,4194,Hostel  - Depaul Sundial House,"140 James's Street, Dublin 8, D08 KN25",140 James's Street,Tipperary,Sligo,Sligo,27-Apr-22
53.338052,-6.266182,1317,Aungier Street Clinic ,"14-16 Redmond's Hill, Dublin 2, D02 RP46",14-16 Redmond's Hill,Louth,Wexford,Wexford,08-Apr-22
53.327082,-6.306117,3256,Dr Synott ,"144 Old County Road, Dublin 12, D12 XFP6",144 Old County Road,Kerry,Westmeath,Westmeath,26-Apr-22
53.368821,-6.239077,1926,Marino Medical Centre,"144 Philipsburgh Avenue, Dublin 3, D03 R6X6",144 Philipsburgh Avenue,Monaghan,Tipperary,Tipperary,22-Apr-22
53.355275,-6.234917,1390,East Wall Medical Centre,"145 Church Road, Dublin 3, D03 X894",145 Church Road,Monaghan,Tipperary,Tipperary,12-Apr-22
51.892513,-8.482351,3096,Dr Seamus Looney,"148 Bandon Road, Cork, T12 VY23",148 Bandon Road,Dublin,Laois,Laois,18-Aug-21
53.316246,-6.388711,2389,Webdoctor,"14A Knockmeenagh Road, Dublin 22, D22 Y793",14A Knockmeenagh Road,Dublin,Wexford,Wexford,27-Apr-22
53.365741,-6.228133,5091,Dr Patrick Lee,"14b Crescent Place, Malahide Road, Dublin 3, D03 R9X0",14b Crescent Place,Dublin,Mayo,Mayo,27-Apr-22
53.340317,-6.32021,1186,Inchicore Medical Centre,"15 Grattan Crescent, Dublin 8, D08 EWF2",15 Grattan Crescent,Galway,Kildare,Kildare,08-Apr-22
53.275472,-7.487493,2616,Dr. Michael Twomey,"15 Henry Street, Tullamore, Co. Offaly, R35 X789",Offaly,Kerry,Mayo,Mayo,11-Apr-22
53.344899,-6.249538,1303,Pearse Street Primary Care Centre,"15 Mark's Lane, Dublin 2, D02 TD23",15 Mark's Lane,Kerry,Louth,Louth,06-Apr-22
52.659031,-8.628982,1122,Cullen & Hanly Family Doctors,"15 Pery Square, Limerick, V94 XV4A",15 Pery Square,Dublin,Kildare,Kildare,07-Apr-22
53.45198,-6.1545,1056,Malahide Family Practice,"15 Strand Street, Malahide, Co. Dublin, K36 A625",Dublin,Kerry,Limerick,Limerick,07-Apr-22
53.202914,-6.100418,5499,Preventive Health Ltd,"15/16 Albert Avenue, Bray, Co. Wicklow, A98 WK03",Wicklow,Dublin,Mayo,Mayo,28-Apr-22
53.316751,-6.270332,3257,The Rathgar Medical Pratice,"150 Rathgar Road, Dublin 6, D06 YP29",150 Rathgar Road,Cork,Cork,Cork,26-Apr-22
