Centre_ID,Centre_Title,Centre_Address,County,Maximum_Occupancy,Centre_Phone,Person_in_Charge,Person_in_Charge_Phone,Registration_Provider,Registration_Provider_Address,Registration_Provider_Phone,Registration_Date,Registration_Expiry_Date,Expiry_Date_Note,CRO_Registration_Number,Management_Contacts,Registration_Number,Chief_Inspector_Note,Registration_Conditions,URL
4,"Altadore Nursing Home","Upper Glenageary Road, Glenageary, A96 EW77",Dublin,63,"01 284 2233","Rachel Gallogly","01 284 2233","Glenageary Nursing Home Limited","The Highline, Bakers Point, Pottery Road, A96 KW29, Co. Dublin","01 675 4366",30-09-2024,29-09-2027,,687224,,REG-0039071,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 03/09/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 63.",https://www.hiqa.ie/areas-we-work/find-a-centre/altadore-nursing-home
113,"Alzheimer's Care Centre","Highfield Healthcare, Swords Road, Whitehall, D09 H343",Dublin,91,"01 837 4444","Memory Gara","01 837 4444","Sparantus Limited","Highfield Healthcare, Swords Road, Whitehall, D09 H343, Dublin 9","01 837 4444",24-11-2023,23-11-2026,,285998,"Colum Bracken - 01 837 4444, Stephen Eustace - 01 837 4444",REG-0042122,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 19/06/2024. The registered provider will ensure that staffing levels as set out in rosters provided to inspectors on 28/06/2024 are maintained in each of the four units (Drishogue,  Coghill/Daneswell,  Delville/Lindsay and Grattan Units) The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 91.",https://www.hiqa.ie/areas-we-work/find-a-centre/alzheimers-care-centre
189,"Amberley Home and Retirement Cottages","Acres , Fermoy , P61 AP57",Cork,71,"025 40 900","Neethu Thomas","025 40 900","Amber Health Care Limited","Amberley Home and Retirement Cottages, Acres , Fermoy , P61 AP57, Cork","025 40 900",24-02-2024,23-02-2027,,69342,,REG-0038050,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plans received on 16/08/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 71.",https://www.hiqa.ie/areas-we-work/find-a-centre/amberley-home-and-retirement-cottages
309,"An Teaghlach Uilinn Nursing Home","Kilrainey, Moycullen, H91 RW96",Galway,53,"091 555 444","Michael Hayden","091 555 444","Knegare Nursing Home Holdings Ltd","Talbot Lodge, 17 Kinsealy Lane, Malahide, K36 D295, Co. Dublin","01 846 2115",16-03-2023,15-03-2026,,643413,"Mairead Fitzgerald - 087 692 5690",REG-0036766,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received 24 March 2025 within the footprint of the designated centre on the floor plan received on 25 February 2025,  excluding the use of 21 beds on the first floor of the designated centre.  Although the centre is comprised of 63 bedrooms,  consisting 52 single bedrooms and 11 twin-bedrooms,  this registration decision allows the use of 43 beds on the ground floor and 10 beds on the first floor. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 53.",https://www.hiqa.ie/areas-we-work/find-a-centre/teaghlach-uilinn-nursing-home
749,"Anam Cara Housing with Care","Anam Cara, St Canice's Road, Glasnevin, D11 FF10",Dublin,56,"01 857 2362","Maureen Mooney",8572362,"Fold Housing Association Ireland Company Limited by Guarantee","Block A, The Cresent Building, Northwood Office Campus, Santry, D09 X8W3, Dublin 9","01 822 8804",27-04-2024,26-04-2027,,357889,"Tanya Grandon - 01 822 8804, Martina Conroy - 01 822 8804",REG-0038314,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received on 20/02/2024 within the footprint of the designated centre on the floor plan received on 20/02/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 56.",https://www.hiqa.ie/areas-we-work/find-a-centre/anam-cara-housing-care
465,"Anna Gaynor House","Our Lady’s Hospice & Care Services, Harold's Cross, D6W RY72",Dublin,89,"01 406 8700","Lisa Murphy","01 406 8826","Our Lady's Hospice and Care Services DAC","Our Lady's Hospice Ltd, Harold's Cross, D6W RY72, Dublin 6w","01 406 8700",25-01-2024,24-01-2027,,352404,,REG-0037908,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose,  received 10/11/2023,  within the footprint of the designated centre on the floor plan received 10/11/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 89.",https://www.hiqa.ie/areas-we-work/find-a-centre/anna-gaynor-house
5,"Annabeg Nursing Home","Meadow Court, Ballybrack, A96 KW54",Dublin,41,"01 272 0201",,,"Costern Unlimited Company","42, North Wood Court, Northwood, Santry, D09 Y820, Dublin 9","01 685 5170",31-10-2023,30-10-2026,,489192,"Victorita Stan - 086 823 8286, Orla Scuffil - 086 440 0749",REG-0041679,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received 21/07/2025 within the footprint of the designated centre on the floor plan received 17/07/2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 41 .",https://www.hiqa.ie/areas-we-work/find-a-centre/annabeg-nursing-home
5191,"AnovoCare Nursing Home","Stockhole Lane, Cloghran, Swords, K67 T8P0",Dublin,112,"01 563 0400","Darvin Ambas","01 563 0400","Costern Unlimited Company","42, North Wood Court, Northwood, Santry, D09 Y820, Dublin 9","01 685 5170",07-08-2022,06-08-2025,,489192,"Victorita Stan - 086 823 8286, Orla Scuffil - 086 440 0749",REG-0039601,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 10/1/2025. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 112.",https://www.hiqa.ie/areas-we-work/find-a-centre/anovocare-nursing-home
4452,"Aperee Living Bantry","Seafield, Bantry , P75 KT35",Cork,50,"027 52 711","Sheena Idicula Punnattusseril","027 52 711","Deerpark Care Home Ltd","46 St Mary's Road, Midleton, P25 KX56, Cork","021 462 1094",19-11-2020,18-11-2023,,532470,"Maura O'Sullivan - 086 851 6523",REG-0034128,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 20/10/2020. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50Condition 4The registered provider shall ensure that no new resident is admitted to the designated centre  until the designated centre is brought into compliance with Regulation 28. The fire safety works in the designated centre must be completed in full prior to the admission of any new resident.",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-bantry
4447,"Aperee Living Conna","Conna, Mallow, P51 W110",Cork,50,"058 59 876","Resmi Rajan","052 618 2000","Conna Care Home Ltd","46 St Mary's Road, Midleton, P25 KX56, Cork","021 462 1094",04-01-2022,03-01-2025,,548745,"Maura O'Sullivan - 086 851 6523",REG-0035310,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 15/09/2021. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 50.Condition 4 By the 31 October 2023 the registered provider shall ensure that the following works to improve fire safety are completed  •	Upgrade of ceilings of bedrooms to fire rated ceilings•	Upgrade of external escape routes to rear of building•	Servicing and/or replacement of inadequate fire doorsets and internal screens•	Upgrade of laundry room fire rating to area added to room•	Provision of passive fire protection to all ventilation outlets passing through fire rated construction",https://www.hiqa.ie/areas-we-work/find-a-centre/aperee-living-conna
705,"Araglen House Nursing Home","Loumanagh, Boherbue, Mallow, P51 T990",Cork,91,"029 76 771","Adrienn Zagyva","029 76 771","Araglen House Nursing Home Ltd","Loumanagh South, Boherbue, Mallow, P51 T990, Cork","029 76 771",10-11-2022,09-11-2025,,461100,,REG-0036303,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 22/09/22. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 91.",https://www.hiqa.ie/areas-we-work/find-a-centre/araglen-house-nursing-home
382,"Aras Chois Fharraige","Pairc, An Spidéal, H91 H9C7",Galway,42,"091 553 194",,,"Aras Care Ltd","Pairc, An Spideal, H91 H9C7, Galway","091 553194",03-09-2022,02-09-2025,,642653,,REG-0036124,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 28 June 2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is 42.",https://www.hiqa.ie/areas-we-work/find-a-centre/aras-chois-fharraige
644,"Áras Deirbhle Community Nursing Unit","Aras Deirbhle, Belmullet Community Hospital, Belmullet, F26 K1H9",Mayo,30,"097 27 400 / 097 81 174","Mary Noone","097 27 400","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",19-06-2024,18-06-2027,,,"Damien Woods - 093 37 937",REG-0038551,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose received on 03 October2024 and within the footprint of the designated centre on the floor plan received on 29 August 2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 30",https://www.hiqa.ie/areas-we-work/find-a-centre/aras-deirbhle-community-nursing-unit
311,"Aras Gaoth Dobhair","Meenaniller, Derrybeg, Letterkenny, F92 X295",Donegal,41,"074 956 0624","Catherine Donnelly","085 230 9218","Bainistiocht Aras Gaoth Dobhair Cuideachta Faoi Theorainn Rathaiochta","Aras Ghaoth Dobhair, Meenaniller, Derrybeg, F92 X295, Donegal","074 956 0624",01-02-2023,31-01-2026,,387435,,REG-0037608,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan dated 27/08/2022. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 41.Condition 4 The registered provider shall address the findings of the fire safety risk assessment completed in October 2022 and ensure that •	all amber-rated fire safety risks are eliminated by 31 May 2025In the interim,  the registered provider must increase nighttime staffing levels in the designated centre to ensure that there is a fire warden rostered each night to complete the fire safety checks advised by their own competent fire person.",https://www.hiqa.ie/areas-we-work/find-a-centre/aras-gaoth-dobhair
652,"Aras Mhathair Phoil","Knockroe, Castlerea, F45 X891",Roscommon,24,"094 962 0506","Lijin Jose","094 962 0506","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-06-2024,24-06-2027,,,"Damien Woods - 093 37 937",REG-0038577,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received 15/02/2024. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 24.Condition 4 Until such time as the registered provider has achieved compliance with Regulation 28; Fire Safety,  the number of residents accommodated in the following two compartments of the designated center will not exceed 6 residents in each •	Compartment Corridor R32 (Bedrooms 22,  24,  25,  26,  27,  28,  29,  30 and 31) •	Compartment Corridor R61 (Bedrooms 49,  51,  52,  53,  54,  55,  56,  57 and 59)Condition 5No new residents may be admitted into the designated centre until such time as inspectors of social services are satisfied that the registered provider has 1. ensured that all of the red fire safety risks identified in the provider's own Fire Safety Risk Assessment dated May 2024 have been addressed and eliminated2.  demonstrated that progress been made in addressing all amber rated fire safety risks identified in the same Fire Safety Risk Assessment",https://www.hiqa.ie/areas-we-work/find-a-centre/aras-mhathair-phoil
626,"Áras Mhic Dara Community Nursing Unit","Barrarderry, Carraroe, H91 AE16",Galway,38,"091 595204","Bernadette Ní Shuilleabháin","091 595204","Health Service Executive","Oak House, Millennium Park, Naas, W91 KDC2, Kildare","045 880 400",25-06-2024,24-06-2027,,,"Damien Woods - 093 37 937",REG-0039072,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 17/06/2024 excluding the use of rooms 19,  20,  21 and 22 on a twin occupancy basis. These four bedrooms may only be used to accommodate one resident at a time.  The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 38.",https://www.hiqa.ie/areas-we-work/find-a-centre/aras-mhic-dara-community-nursing-unit
312,"Aras Mhic Shuibhne","Mullinasole, Laghey, F94 DV22",Donegal,48,"074 973 4810","Mairead Gallagher","074 973 4810 Ext 1","Drumhill Inn Limited","Aras Mhic Shuibhne, Glenvar, Kerrykeel, Letterkenny, F94 DV22, Donegal","074 973 4810",11-01-2024,10-01-2027,,318684,"Padraig Clinton - 074 973 4810 ext 1",REG-0037912,,"Condition 1 Subject to any prohibitions or restrictions contained in any other condition(s),  the designated centre shall be operated at all times in accordance with the Statement of Purpose within the footprint of the designated centre on the floor plan received on 04/10/2023. The registered provider shall only provide for the specific care and support needs,  and services,  within the facilities as set out the Statement of Purpose,  as agreed with the Chief Inspector at the time of registration. Any changes to the specific care and support needs and services provided must be agreed in advance with the Chief Inspector.Condition 2Only persons aged 18 years or older shall be accommodated at the designated centre at any time.Condition 3The maximum number of persons that may be accommodated at the designated centre is: 48.",https://www.hiqa.ie/areas-we-work/find-a-centre/aras-mhic-shuibhne
