"Statistic Label","Year","Age Group","Criteria for Projection","Sex","UNIT","VALUE"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M1","Both sexes","Thousand","283.7"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M1","Male","Thousand","153.8"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M1","Female","Thousand","129.9"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M2","Both sexes","Thousand","283.7"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M2","Male","Thousand","153.8"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M2","Female","Thousand","129.9"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M3","Both sexes","Thousand","283.7"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M3","Male","Thousand","153.8"
"Actual and Projected Labour Force from 2022","2022","50 - 54 years","Method - M3","Female","Thousand","129.9"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M1","Both sexes","Thousand","239.2"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M1","Male","Thousand","129.3"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M1","Female","Thousand","109.9"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M2","Both sexes","Thousand","239.2"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M2","Male","Thousand","129.3"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M2","Female","Thousand","109.9"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M3","Both sexes","Thousand","239.2"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M3","Male","Thousand","129.3"
"Actual and Projected Labour Force from 2022","2022","55 - 59 years","Method - M3","Female","Thousand","109.9"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M1","Both sexes","Thousand","167.5"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M1","Male","Thousand","95.5"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M1","Female","Thousand","72"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M2","Both sexes","Thousand","167.5"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M2","Male","Thousand","95.5"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M2","Female","Thousand","72"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M3","Both sexes","Thousand","167.5"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M3","Male","Thousand","95.5"
"Actual and Projected Labour Force from 2022","2022","60 - 64 years","Method - M3","Female","Thousand","72"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M1","Both sexes","Thousand","63"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M1","Male","Thousand","39.5"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M1","Female","Thousand","23.5"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M2","Both sexes","Thousand","63"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M2","Male","Thousand","39.5"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M2","Female","Thousand","23.5"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M3","Both sexes","Thousand","63"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M3","Male","Thousand","39.5"
"Actual and Projected Labour Force from 2022","2022","65 - 69 years","Method - M3","Female","Thousand","23.5"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M1","Both sexes","Thousand","28"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M1","Male","Thousand","20.2"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M1","Female","Thousand","7.7"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M2","Both sexes","Thousand","28"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M2","Male","Thousand","20.2"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M2","Female","Thousand","7.7"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M3","Both sexes","Thousand","28"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M3","Male","Thousand","20.2"
"Actual and Projected Labour Force from 2022","2022","70 - 74 years","Method - M3","Female","Thousand","7.7"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M1","Both sexes","Thousand","14.7"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M1","Male","Thousand","12.1"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M1","Female","Thousand","2.6"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M2","Both sexes","Thousand","14.7"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M2","Male","Thousand","12.1"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M2","Female","Thousand","2.6"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M3","Both sexes","Thousand","14.7"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M3","Male","Thousand","12.1"
"Actual and Projected Labour Force from 2022","2022","75 years and over","Method - M3","Female","Thousand","2.6"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M1","Both sexes","Thousand","2963.8"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M1","Male","Thousand","1582.2"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M1","Female","Thousand","1381.5"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M2","Both sexes","Thousand","2930.3"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M2","Male","Thousand","1564.4"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M2","Female","Thousand","1365.9"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M3","Both sexes","Thousand","2903.3"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M3","Male","Thousand","1549.5"
"Actual and Projected Labour Force from 2022","2027","All ages","Method - M3","Female","Thousand","1353.8"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M1","Both sexes","Thousand","134.3"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M1","Male","Thousand","67.6"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M1","Female","Thousand","66.7"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M2","Both sexes","Thousand","132.9"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M2","Male","Thousand","66.9"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M2","Female","Thousand","65.9"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M3","Both sexes","Thousand","131.5"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M3","Male","Thousand","66.3"
"Actual and Projected Labour Force from 2022","2027","15 - 19 years","Method - M3","Female","Thousand","65.2"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M1","Both sexes","Thousand","275.2"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M1","Male","Thousand","142.3"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M1","Female","Thousand","132.9"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M2","Both sexes","Thousand","271.1"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M2","Male","Thousand","140.3"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M2","Female","Thousand","130.7"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M3","Both sexes","Thousand","267"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M3","Male","Thousand","138.3"
"Actual and Projected Labour Force from 2022","2027","20 - 24 years","Method - M3","Female","Thousand","128.6"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M1","Both sexes","Thousand","294.1"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M1","Male","Thousand","156.1"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M1","Female","Thousand","138"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M2","Both sexes","Thousand","289"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M2","Male","Thousand","153.5"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M2","Female","Thousand","135.5"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M3","Both sexes","Thousand","284.9"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M3","Male","Thousand","151.2"
"Actual and Projected Labour Force from 2022","2027","25 - 29 years","Method - M3","Female","Thousand","133.6"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M1","Both sexes","Thousand","294"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M1","Male","Thousand","154.5"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M1","Female","Thousand","139.5"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M2","Both sexes","Thousand","288.5"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M2","Male","Thousand","151.5"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M2","Female","Thousand","137"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M3","Both sexes","Thousand","284.2"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M3","Male","Thousand","149.1"
"Actual and Projected Labour Force from 2022","2027","30 - 34 years","Method - M3","Female","Thousand","135.1"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M1","Both sexes","Thousand","320.7"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M1","Male","Thousand","168"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M1","Female","Thousand","152.7"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M2","Both sexes","Thousand","315.2"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M2","Male","Thousand","164.9"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M2","Female","Thousand","150.3"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M3","Both sexes","Thousand","310.7"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M3","Male","Thousand","162.4"
"Actual and Projected Labour Force from 2022","2027","35 - 39 years","Method - M3","Female","Thousand","148.4"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M1","Both sexes","Thousand","365.9"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M1","Male","Thousand","189.1"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M1","Female","Thousand","176.7"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M2","Both sexes","Thousand","360.4"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M2","Male","Thousand","186.1"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M2","Female","Thousand","174.2"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M3","Both sexes","Thousand","356"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M3","Male","Thousand","183.6"
"Actual and Projected Labour Force from 2022","2027","40 - 44 years","Method - M3","Female","Thousand","172.4"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M1","Both sexes","Thousand","374"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M1","Male","Thousand","193.2"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M1","Female","Thousand","180.8"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M2","Both sexes","Thousand","371.3"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M2","Male","Thousand","191.8"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M2","Female","Thousand","179.5"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M3","Both sexes","Thousand","369.3"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M3","Male","Thousand","190.7"
"Actual and Projected Labour Force from 2022","2027","45 - 49 years","Method - M3","Female","Thousand","178.7"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M1","Both sexes","Thousand","315.8"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M1","Male","Thousand","169.8"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M1","Female","Thousand","146"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M2","Both sexes","Thousand","314.6"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M2","Male","Thousand","169.1"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M2","Female","Thousand","145.5"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M3","Both sexes","Thousand","313.7"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M3","Male","Thousand","168.6"
"Actual and Projected Labour Force from 2022","2027","50 - 54 years","Method - M3","Female","Thousand","145.1"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M1","Both sexes","Thousand","269.3"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M1","Male","Thousand","146.9"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M1","Female","Thousand","122.4"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M2","Both sexes","Thousand","268.2"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M2","Male","Thousand","146.3"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M2","Female","Thousand","121.9"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M3","Both sexes","Thousand","267.5"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M3","Male","Thousand","145.9"
"Actual and Projected Labour Force from 2022","2027","55 - 59 years","Method - M3","Female","Thousand","121.6"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M1","Both sexes","Thousand","190.7"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M1","Male","Thousand","108.8"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M1","Female","Thousand","81.9"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M2","Both sexes","Thousand","189.8"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M2","Male","Thousand","108.3"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M2","Female","Thousand","81.5"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M3","Both sexes","Thousand","189.3"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M3","Male","Thousand","107.9"
"Actual and Projected Labour Force from 2022","2027","60 - 64 years","Method - M3","Female","Thousand","81.3"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M1","Both sexes","Thousand","77.9"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M1","Male","Thousand","47"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M1","Female","Thousand","30.9"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M2","Both sexes","Thousand","77.7"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M2","Male","Thousand","46.9"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M2","Female","Thousand","30.8"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M3","Both sexes","Thousand","77.5"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M3","Male","Thousand","46.7"
"Actual and Projected Labour Force from 2022","2027","65 - 69 years","Method - M3","Female","Thousand","30.8"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M1","Both sexes","Thousand","33.4"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M1","Male","Thousand","23.6"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M1","Female","Thousand","9.9"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M2","Both sexes","Thousand","33.4"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M2","Male","Thousand","23.5"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M2","Female","Thousand","9.9"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M3","Both sexes","Thousand","33.3"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M3","Male","Thousand","23.5"
"Actual and Projected Labour Force from 2022","2027","70 - 74 years","Method - M3","Female","Thousand","9.8"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M1","Both sexes","Thousand","18.5"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M1","Male","Thousand","15.3"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M1","Female","Thousand","3.2"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M2","Both sexes","Thousand","18.4"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M2","Male","Thousand","15.3"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M2","Female","Thousand","3.2"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M3","Both sexes","Thousand","18.4"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M3","Male","Thousand","15.2"
"Actual and Projected Labour Force from 2022","2027","75 years and over","Method - M3","Female","Thousand","3.2"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M1","Both sexes","Thousand","3157.9"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M1","Male","Thousand","1682.9"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M1","Female","Thousand","1475"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M2","Both sexes","Thousand","3085.8"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M2","Male","Thousand","1644.5"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M2","Female","Thousand","1441.3"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M3","Both sexes","Thousand","3009.5"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M3","Male","Thousand","1602.6"
"Actual and Projected Labour Force from 2022","2032","All ages","Method - M3","Female","Thousand","1406.8"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M1","Both sexes","Thousand","127.4"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M1","Male","Thousand","64"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M1","Female","Thousand","63.4"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M2","Both sexes","Thousand","125.2"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M2","Male","Thousand","62.9"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M2","Female","Thousand","62.2"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M3","Both sexes","Thousand","122.4"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M3","Male","Thousand","61.6"
"Actual and Projected Labour Force from 2022","2032","15 - 19 years","Method - M3","Female","Thousand","60.8"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M1","Both sexes","Thousand","311.5"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M1","Male","Thousand","160.5"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M1","Female","Thousand","151"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M2","Both sexes","Thousand","303.7"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M2","Male","Thousand","156.7"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M2","Female","Thousand","146.9"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M3","Both sexes","Thousand","293.6"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M3","Male","Thousand","151.7"
"Actual and Projected Labour Force from 2022","2032","20 - 24 years","Method - M3","Female","Thousand","141.8"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M1","Both sexes","Thousand","323.8"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M1","Male","Thousand","171.6"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M1","Female","Thousand","152.2"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M2","Both sexes","Thousand","313.6"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M2","Male","Thousand","166.4"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M2","Female","Thousand","147.2"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M3","Both sexes","Thousand","301.9"
"Actual and Projected Labour Force from 2022","2032","25 - 29 years","Method - M3","Male","Thousand","160.2"
