"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C04104V04868","County and City","UNIT","VALUE"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","87484"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","68840"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","34353"
"F2021C01","Total housing stock","2006","2006","2ae19629-148d-13a3-e055-000000000001","Laois","Number","27079"
"F2021C01","Total housing stock","2006","2006","2ae19629-1490-13a3-e055-000000000001","Longford","Number","15868"
"F2021C01","Total housing stock","2006","2006","2ae19629-1491-13a3-e055-000000000001","Louth","Number","45488"
"F2021C01","Total housing stock","2006","2006","2ae19629-1494-13a3-e055-000000000001","Meath","Number","61257"
"F2021C01","Total housing stock","2006","2006","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","27591"
"F2021C01","Total housing stock","2006","2006","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","32817"
"F2021C01","Total housing stock","2006","2006","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","58970"
"F2021C01","Total housing stock","2006","2006","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","49088"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","48834"
"F2021C01","Total housing stock","2006","2006","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","202100"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","65913"
"F2021C01","Total housing stock","2006","2006","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","75742"
"F2021C01","Total housing stock","2006","2006","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","61509"
"F2021C01","Total housing stock","2006","2006","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","47541"
"F2021C01","Total housing stock","2006","2006","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","30589"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","67737"
"F2021C01","Total housing stock","2006","2006","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","15282"
"F2021C01","Total housing stock","2006","2006","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","58717"
"F2021C01","Total housing stock","2006","2006","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","26979"
"F2021C01","Total housing stock","2006","2006","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","28751"
"F2021C01","Total housing stock","2006","2006","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","28250"
"F2021C01","Total housing stock","2006","2006","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","70526"
"F2021C01","Total housing stock","2006","2006","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","21658"
"F2021C01","Total housing stock","2011","2011","IE0","State","Number","1994845"
"F2021C01","Total housing stock","2011","2011","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","23165"
"F2021C01","Total housing stock","2011","2011","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","241678"
"F2021C01","Total housing stock","2011","2011","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","85896"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","102793"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","97298"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","78794"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","39005"
"F2021C01","Total housing stock","2011","2011","2ae19629-148d-13a3-e055-000000000001","Laois","Number","32664"
"F2021C01","Total housing stock","2011","2011","2ae19629-1490-13a3-e055-000000000001","Longford","Number","18823"
"F2021C01","Total housing stock","2011","2011","2ae19629-1491-13a3-e055-000000000001","Louth","Number","51186"
"F2021C01","Total housing stock","2011","2011","2ae19629-1494-13a3-e055-000000000001","Meath","Number","69697"
"F2021C01","Total housing stock","2011","2011","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","30750"
"F2021C01","Total housing stock","2011","2011","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","36659"
"F2021C01","Total housing stock","2011","2011","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","68143"
"F2021C01","Total housing stock","2011","2011","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","54351"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","55616"
"F2021C01","Total housing stock","2011","2011","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","227675"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","74747"
"F2021C01","Total housing stock","2011","2011","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","82156"
"F2021C01","Total housing stock","2011","2011","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","68974"
"F2021C01","Total housing stock","2011","2011","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","52364"
"F2021C01","Total housing stock","2011","2011","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","33655"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","77522"
"F2021C01","Total housing stock","2011","2011","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","18128"
"F2021C01","Total housing stock","2011","2011","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","65792"
"F2021C01","Total housing stock","2011","2011","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","31585"
"F2021C01","Total housing stock","2011","2011","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","33044"
"F2021C01","Total housing stock","2011","2011","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","33711"
"F2021C01","Total housing stock","2011","2011","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","83918"
"F2021C01","Total housing stock","2011","2011","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","25056"
"F2021C01","Total housing stock","2016","2016","IE0","State","Number","2003645"
"F2021C01","Total housing stock","2016","2016","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","23274"
"F2021C01","Total housing stock","2016","2016","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","240553"
"F2021C01","Total housing stock","2016","2016","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","86962"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","104851"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","98387"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","80158"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","39226"
"F2021C01","Total housing stock","2016","2016","2ae19629-148d-13a3-e055-000000000001","Laois","Number","32794"
"F2021C01","Total housing stock","2016","2016","2ae19629-1490-13a3-e055-000000000001","Longford","Number","18591"
"F2021C01","Total housing stock","2016","2016","2ae19629-1491-13a3-e055-000000000001","Louth","Number","51399"
"F2021C01","Total housing stock","2016","2016","2ae19629-1494-13a3-e055-000000000001","Meath","Number","70649"
"F2021C01","Total housing stock","2016","2016","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","30740"
"F2021C01","Total housing stock","2016","2016","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","36890"
"F2021C01","Total housing stock","2016","2016","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","68206"
"F2021C01","Total housing stock","2016","2016","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","54986"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","55779"
"F2021C01","Total housing stock","2016","2016","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","229495"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","74094"
"F2021C01","Total housing stock","2016","2016","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","82112"
"F2021C01","Total housing stock","2016","2016","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","69106"
"F2021C01","Total housing stock","2016","2016","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","52491"
"F2021C01","Total housing stock","2016","2016","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","33847"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","78207"
"F2021C01","Total housing stock","2016","2016","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","18051"
"F2021C01","Total housing stock","2016","2016","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","65921"
"F2021C01","Total housing stock","2016","2016","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","31285"
"F2021C01","Total housing stock","2016","2016","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","32764"
"F2021C01","Total housing stock","2016","2016","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","33585"
"F2021C01","Total housing stock","2016","2016","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","83931"
"F2021C01","Total housing stock","2016","2016","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","25311"
"F2021C01","Total housing stock","2022","2022","IE0","State","Number","2112121"
"F2021C01","Total housing stock","2022","2022","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","24557"
"F2021C01","Total housing stock","2022","2022","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","250632"
"F2021C01","Total housing stock","2022","2022","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","93257"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","115358"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","106074"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","88997"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","40996"
"F2021C01","Total housing stock","2022","2022","2ae19629-148d-13a3-e055-000000000001","Laois","Number","34443"
"F2021C01","Total housing stock","2022","2022","2ae19629-1490-13a3-e055-000000000001","Longford","Number","19195"
"F2021C01","Total housing stock","2022","2022","2ae19629-1491-13a3-e055-000000000001","Louth","Number","54842"
"F2021C01","Total housing stock","2022","2022","2ae19629-1494-13a3-e055-000000000001","Meath","Number","78759"
"F2021C01","Total housing stock","2022","2022","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","31851"
"F2021C01","Total housing stock","2022","2022","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","38189"
"F2021C01","Total housing stock","2022","2022","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","71479"
"F2021C01","Total housing stock","2022","2022","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","59629"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","57665"
"F2021C01","Total housing stock","2022","2022","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","240942"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","77305"
"F2021C01","Total housing stock","2022","2022","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","85363"
"F2021C01","Total housing stock","2022","2022","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","70608"
"F2021C01","Total housing stock","2022","2022","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","54847"
"F2021C01","Total housing stock","2022","2022","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","35436"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","82337"
"F2021C01","Total housing stock","2022","2022","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","18482"
"F2021C01","Total housing stock","2022","2022","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","68282"
"F2021C01","Total housing stock","2022","2022","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","32129"
"F2021C01","Total housing stock","2022","2022","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","33711"
"F2021C01","Total housing stock","2022","2022","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","34427"
"F2021C01","Total housing stock","2022","2022","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","85990"
"F2021C01","Total housing stock","2022","2022","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","26339"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","IE0","State","Number","105142"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","823"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","9670"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","2447"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","1682"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","1490"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a7-13a3-e055-000000000001","Kildare","Number","1812"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a8-13a3-e055-000000000001","Kilkenny","Number","1763"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-148d-13a3-e055-000000000001","Laois","Number","1413"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1490-13a3-e055-000000000001","Longford","Number","1453"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1491-13a3-e055-000000000001","Louth","Number","1983"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1494-13a3-e055-000000000001","Meath","Number","2333"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1496-13a3-e055-000000000001","Offaly","Number","1353"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-149b-13a3-e055-000000000001","Westmeath","Number","1766"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-149c-13a3-e055-000000000001","Wexford","Number","3708"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-149e-13a3-e055-000000000001","Wicklow","Number","2958"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a2-13a3-e055-000000000001","Clare","Number","4630"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1451-13a3-e055-000000000001","Cork City and Cork County","Number","14328"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a6-13a3-e055-000000000001","Kerry","Number","7716"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-148f-13a3-e055-000000000001","Limerick City and County","Number","4248"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1499-13a3-e055-000000000001","Tipperary","Number","4036"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-149a-13a3-e055-000000000001","Waterford City and County","Number","2929"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1435-13a3-e055-000000000001","Galway City","Number","1103"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a5-13a3-e055-000000000001","Galway County","Number","5667"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-148e-13a3-e055-000000000001","Leitrim","Number","1820"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1493-13a3-e055-000000000001","Mayo","Number","6078"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1497-13a3-e055-000000000001","Roscommon","Number","2428"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1498-13a3-e055-000000000001","Sligo","Number","2576"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-149d-13a3-e055-000000000001","Cavan","Number","2170"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-14a4-13a3-e055-000000000001","Donegal","Number","7245"
"F2021C02","Vacant houses (including holiday homes)","1991","1991","2ae19629-1495-13a3-e055-000000000001","Monaghan","Number","1514"
"F2021C02","Vacant houses (including holiday homes)","1996","1996","IE0","State","Number","105250"
"F2021C02","Vacant houses (including holiday homes)","1996","1996","2ae19629-1492-13a3-e055-000000000001","Carlow","Number","830"
"F2021C02","Vacant houses (including holiday homes)","1996","1996","2ae19629-1433-13a3-e055-000000000001","Dublin City","Number","10759"
"F2021C02","Vacant houses (including holiday homes)","1996","1996","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire-Rathdown","Number","2076"
"F2021C02","Vacant houses (including holiday homes)","1996","1996","2ae19629-14a0-13a3-e055-000000000001","Fingal","Number","1702"
"F2021C02","Vacant houses (including holiday homes)","1996","1996","2ae19629-14a1-13a3-e055-000000000001","South Dublin","Number","1407"
