"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to any extent","2022","0 - 4 years","Male","Limerick City & County Council","Number","326"
"Population with a disability to any extent","2022","0 - 4 years","Male","Tipperary County Council","Number","283"
"Population with a disability to any extent","2022","0 - 4 years","Male","Waterford City & County Council","Number","175"
"Population with a disability to any extent","2022","0 - 4 years","Male","Galway City Council","Number","78"
"Population with a disability to any extent","2022","0 - 4 years","Male","Galway County Council","Number","264"
"Population with a disability to any extent","2022","0 - 4 years","Male","Leitrim County Council","Number","50"
"Population with a disability to any extent","2022","0 - 4 years","Male","Mayo  County Council","Number","157"
"Population with a disability to any extent","2022","0 - 4 years","Male","Roscommon County Council","Number","121"
"Population with a disability to any extent","2022","0 - 4 years","Male","Sligo County Council","Number","92"
"Population with a disability to any extent","2022","0 - 4 years","Male","Cavan County Council","Number","120"
"Population with a disability to any extent","2022","0 - 4 years","Male","Donegal County Council","Number","230"
"Population with a disability to any extent","2022","0 - 4 years","Male","Monaghan County Council","Number","91"
"Population with a disability to any extent","2022","0 - 4 years","Female","Ireland","Number","4992"
"Population with a disability to any extent","2022","0 - 4 years","Female","Carlow County Council","Number","76"
"Population with a disability to any extent","2022","0 - 4 years","Female","Dublin City Council","Number","531"
"Population with a disability to any extent","2022","0 - 4 years","Female","Dún Laoghaire Rathdown County Council","Number","140"
"Population with a disability to any extent","2022","0 - 4 years","Female","Fingal County Council","Number","340"
"Population with a disability to any extent","2022","0 - 4 years","Female","South Dublin County Council","Number","360"
"Population with a disability to any extent","2022","0 - 4 years","Female","Kildare County Council","Number","220"
"Population with a disability to any extent","2022","0 - 4 years","Female","Kilkenny County Council","Number","99"
"Population with a disability to any extent","2022","0 - 4 years","Female","Laois County Council","Number","122"
"Population with a disability to any extent","2022","0 - 4 years","Female","Longford County Council","Number","47"
"Population with a disability to any extent","2022","0 - 4 years","Female","Louth County Council","Number","151"
"Population with a disability to any extent","2022","0 - 4 years","Female","Meath County Council","Number","214"
"Population with a disability to any extent","2022","0 - 4 years","Female","Offaly County Council","Number","89"
"Population with a disability to any extent","2022","0 - 4 years","Female","Westmeath County Council","Number","103"
"Population with a disability to any extent","2022","0 - 4 years","Female","Wexford County Council","Number","178"
"Population with a disability to any extent","2022","0 - 4 years","Female","Wicklow County Council","Number","163"
"Population with a disability to any extent","2022","0 - 4 years","Female","Clare County Council","Number","122"
"Population with a disability to any extent","2022","0 - 4 years","Female","Cork City Council","Number","206"
"Population with a disability to any extent","2022","0 - 4 years","Female","Cork County Council","Number","356"
"Population with a disability to any extent","2022","0 - 4 years","Female","Kerry County Council","Number","141"
"Population with a disability to any extent","2022","0 - 4 years","Female","Limerick City & County Council","Number","212"
"Population with a disability to any extent","2022","0 - 4 years","Female","Tipperary County Council","Number","171"
"Population with a disability to any extent","2022","0 - 4 years","Female","Waterford City & County Council","Number","104"
"Population with a disability to any extent","2022","0 - 4 years","Female","Galway City Council","Number","71"
"Population with a disability to any extent","2022","0 - 4 years","Female","Galway County Council","Number","172"
"Population with a disability to any extent","2022","0 - 4 years","Female","Leitrim County Council","Number","35"
"Population with a disability to any extent","2022","0 - 4 years","Female","Mayo  County Council","Number","113"
"Population with a disability to any extent","2022","0 - 4 years","Female","Roscommon County Council","Number","79"
"Population with a disability to any extent","2022","0 - 4 years","Female","Sligo County Council","Number","70"
"Population with a disability to any extent","2022","0 - 4 years","Female","Cavan County Council","Number","94"
"Population with a disability to any extent","2022","0 - 4 years","Female","Donegal County Council","Number","153"
"Population with a disability to any extent","2022","0 - 4 years","Female","Monaghan County Council","Number","60"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Ireland","Number","35075"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Carlow County Council","Number","478"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Dublin City Council","Number","2946"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Dún Laoghaire Rathdown County Council","Number","1164"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Fingal County Council","Number","2516"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","South Dublin County Council","Number","2411"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Kildare County Council","Number","1850"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Kilkenny County Council","Number","671"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Laois County Council","Number","802"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Longford County Council","Number","331"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Louth County Council","Number","1074"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Meath County Council","Number","1676"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Offaly County Council","Number","721"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Westmeath County Council","Number","724"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Wexford County Council","Number","1196"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Wicklow County Council","Number","1224"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Clare County Council","Number","841"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Cork City Council","Number","1468"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Cork County Council","Number","2785"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Kerry County Council","Number","911"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Limerick City & County Council","Number","1486"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Tipperary County Council","Number","1275"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Waterford City & County Council","Number","772"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Galway City Council","Number","440"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Galway County Council","Number","1204"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Leitrim County Council","Number","223"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Mayo  County Council","Number","825"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Roscommon County Council","Number","515"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Sligo County Council","Number","459"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Cavan County Council","Number","566"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Donegal County Council","Number","1147"
"Population with a disability to any extent","2022","5 - 9 years","Both sexes","Monaghan County Council","Number","374"
"Population with a disability to any extent","2022","5 - 9 years","Male","Ireland","Number","21917"
"Population with a disability to any extent","2022","5 - 9 years","Male","Carlow County Council","Number","293"
"Population with a disability to any extent","2022","5 - 9 years","Male","Dublin City Council","Number","1851"
"Population with a disability to any extent","2022","5 - 9 years","Male","Dún Laoghaire Rathdown County Council","Number","735"
"Population with a disability to any extent","2022","5 - 9 years","Male","Fingal County Council","Number","1562"
"Population with a disability to any extent","2022","5 - 9 years","Male","South Dublin County Council","Number","1528"
"Population with a disability to any extent","2022","5 - 9 years","Male","Kildare County Council","Number","1150"
"Population with a disability to any extent","2022","5 - 9 years","Male","Kilkenny County Council","Number","410"
"Population with a disability to any extent","2022","5 - 9 years","Male","Laois County Council","Number","507"
"Population with a disability to any extent","2022","5 - 9 years","Male","Longford County Council","Number","210"
"Population with a disability to any extent","2022","5 - 9 years","Male","Louth County Council","Number","674"
"Population with a disability to any extent","2022","5 - 9 years","Male","Meath County Council","Number","1015"
"Population with a disability to any extent","2022","5 - 9 years","Male","Offaly County Council","Number","459"
"Population with a disability to any extent","2022","5 - 9 years","Male","Westmeath County Council","Number","460"
"Population with a disability to any extent","2022","5 - 9 years","Male","Wexford County Council","Number","747"
"Population with a disability to any extent","2022","5 - 9 years","Male","Wicklow County Council","Number","760"
"Population with a disability to any extent","2022","5 - 9 years","Male","Clare County Council","Number","526"
"Population with a disability to any extent","2022","5 - 9 years","Male","Cork City Council","Number","919"
"Population with a disability to any extent","2022","5 - 9 years","Male","Cork County Council","Number","1724"
"Population with a disability to any extent","2022","5 - 9 years","Male","Kerry County Council","Number","590"
"Population with a disability to any extent","2022","5 - 9 years","Male","Limerick City & County Council","Number","913"
"Population with a disability to any extent","2022","5 - 9 years","Male","Tipperary County Council","Number","800"
"Population with a disability to any extent","2022","5 - 9 years","Male","Waterford City & County Council","Number","513"
"Population with a disability to any extent","2022","5 - 9 years","Male","Galway City Council","Number","269"
"Population with a disability to any extent","2022","5 - 9 years","Male","Galway County Council","Number","750"
"Population with a disability to any extent","2022","5 - 9 years","Male","Leitrim County Council","Number","140"
"Population with a disability to any extent","2022","5 - 9 years","Male","Mayo  County Council","Number","499"
"Population with a disability to any extent","2022","5 - 9 years","Male","Roscommon County Council","Number","329"
"Population with a disability to any extent","2022","5 - 9 years","Male","Sligo County Council","Number","282"
"Population with a disability to any extent","2022","5 - 9 years","Male","Cavan County Council","Number","346"
"Population with a disability to any extent","2022","5 - 9 years","Male","Donegal County Council","Number","708"
"Population with a disability to any extent","2022","5 - 9 years","Male","Monaghan County Council","Number","248"
"Population with a disability to any extent","2022","5 - 9 years","Female","Ireland","Number","13158"
"Population with a disability to any extent","2022","5 - 9 years","Female","Carlow County Council","Number","185"
"Population with a disability to any extent","2022","5 - 9 years","Female","Dublin City Council","Number","1095"
"Population with a disability to any extent","2022","5 - 9 years","Female","Dún Laoghaire Rathdown County Council","Number","429"
"Population with a disability to any extent","2022","5 - 9 years","Female","Fingal County Council","Number","954"
"Population with a disability to any extent","2022","5 - 9 years","Female","South Dublin County Council","Number","883"
"Population with a disability to any extent","2022","5 - 9 years","Female","Kildare County Council","Number","700"
"Population with a disability to any extent","2022","5 - 9 years","Female","Kilkenny County Council","Number","261"
"Population with a disability to any extent","2022","5 - 9 years","Female","Laois County Council","Number","295"
"Population with a disability to any extent","2022","5 - 9 years","Female","Longford County Council","Number","121"
"Population with a disability to any extent","2022","5 - 9 years","Female","Louth County Council","Number","400"
"Population with a disability to any extent","2022","5 - 9 years","Female","Meath County Council","Number","661"
"Population with a disability to any extent","2022","5 - 9 years","Female","Offaly County Council","Number","262"
"Population with a disability to any extent","2022","5 - 9 years","Female","Westmeath County Council","Number","264"
"Population with a disability to any extent","2022","5 - 9 years","Female","Wexford County Council","Number","449"
"Population with a disability to any extent","2022","5 - 9 years","Female","Wicklow County Council","Number","464"
"Population with a disability to any extent","2022","5 - 9 years","Female","Clare County Council","Number","315"
"Population with a disability to any extent","2022","5 - 9 years","Female","Cork City Council","Number","549"
"Population with a disability to any extent","2022","5 - 9 years","Female","Cork County Council","Number","1061"
"Population with a disability to any extent","2022","5 - 9 years","Female","Kerry County Council","Number","321"
"Population with a disability to any extent","2022","5 - 9 years","Female","Limerick City & County Council","Number","573"
"Population with a disability to any extent","2022","5 - 9 years","Female","Tipperary County Council","Number","475"
"Population with a disability to any extent","2022","5 - 9 years","Female","Waterford City & County Council","Number","259"
"Population with a disability to any extent","2022","5 - 9 years","Female","Galway City Council","Number","171"
"Population with a disability to any extent","2022","5 - 9 years","Female","Galway County Council","Number","454"
"Population with a disability to any extent","2022","5 - 9 years","Female","Leitrim County Council","Number","83"
"Population with a disability to any extent","2022","5 - 9 years","Female","Mayo  County Council","Number","326"
"Population with a disability to any extent","2022","5 - 9 years","Female","Roscommon County Council","Number","186"
"Population with a disability to any extent","2022","5 - 9 years","Female","Sligo County Council","Number","177"
"Population with a disability to any extent","2022","5 - 9 years","Female","Cavan County Council","Number","220"
"Population with a disability to any extent","2022","5 - 9 years","Female","Donegal County Council","Number","439"
"Population with a disability to any extent","2022","5 - 9 years","Female","Monaghan County Council","Number","126"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Ireland","Number","51053"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Carlow County Council","Number","652"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Dublin City Council","Number","3921"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Dún Laoghaire Rathdown County Council","Number","1804"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Fingal County Council","Number","3685"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","South Dublin County Council","Number","3409"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Kildare County Council","Number","2878"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Kilkenny County Council","Number","953"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Laois County Council","Number","1188"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Longford County Council","Number","490"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Louth County Council","Number","1473"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Meath County Council","Number","2589"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Offaly County Council","Number","991"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Westmeath County Council","Number","1008"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Wexford County Council","Number","1890"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Wicklow County Council","Number","1878"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Clare County Council","Number","1193"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Cork City Council","Number","1981"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Cork County Council","Number","4061"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Kerry County Council","Number","1447"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Limerick City & County Council","Number","2160"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Tipperary County Council","Number","1776"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Waterford City & County Council","Number","1257"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Galway City Council","Number","642"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Galway County Council","Number","1796"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Leitrim County Council","Number","316"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Mayo  County Council","Number","1173"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Roscommon County Council","Number","699"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Sligo County Council","Number","683"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Cavan County Council","Number","771"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Donegal County Council","Number","1694"
"Population with a disability to any extent","2022","10 - 14 years","Both sexes","Monaghan County Council","Number","595"
"Population with a disability to any extent","2022","10 - 14 years","Male","Ireland","Number","29459"
"Population with a disability to any extent","2022","10 - 14 years","Male","Carlow County Council","Number","378"
"Population with a disability to any extent","2022","10 - 14 years","Male","Dublin City Council","Number","2224"
"Population with a disability to any extent","2022","10 - 14 years","Male","Dún Laoghaire Rathdown County Council","Number","989"
"Population with a disability to any extent","2022","10 - 14 years","Male","Fingal County Council","Number","2131"
"Population with a disability to any extent","2022","10 - 14 years","Male","South Dublin County Council","Number","1988"
"Population with a disability to any extent","2022","10 - 14 years","Male","Kildare County Council","Number","1683"
"Population with a disability to any extent","2022","10 - 14 years","Male","Kilkenny County Council","Number","540"
"Population with a disability to any extent","2022","10 - 14 years","Male","Laois County Council","Number","672"
"Population with a disability to any extent","2022","10 - 14 years","Male","Longford County Council","Number","296"
"Population with a disability to any extent","2022","10 - 14 years","Male","Louth County Council","Number","855"
"Population with a disability to any extent","2022","10 - 14 years","Male","Meath County Council","Number","1486"
"Population with a disability to any extent","2022","10 - 14 years","Male","Offaly County Council","Number","588"
"Population with a disability to any extent","2022","10 - 14 years","Male","Westmeath County Council","Number","586"
"Population with a disability to any extent","2022","10 - 14 years","Male","Wexford County Council","Number","1129"
"Population with a disability to any extent","2022","10 - 14 years","Male","Wicklow County Council","Number","1089"
"Population with a disability to any extent","2022","10 - 14 years","Male","Clare County Council","Number","680"
"Population with a disability to any extent","2022","10 - 14 years","Male","Cork City Council","Number","1131"
"Population with a disability to any extent","2022","10 - 14 years","Male","Cork County Council","Number","2326"
"Population with a disability to any extent","2022","10 - 14 years","Male","Kerry County Council","Number","838"
